sense_key,lemma_or_redacted,pos,gloss_or_elided,gold_lexicality,stratum,notes
oewn-atomic_number_27__1.27.00..,atomic number 27,n,a hard ferromagnetic silver-white bivalent or trivalent metallic element; a trace element in plant and animal nutrition,chemical,chemical,gloss: chemical substance/element cue
oewn-10-membered__5.00.00.membered.00,10-membered,a,of a chemical compound having a ring with ten members,chemical,chemical,gloss: chemical substance/element cue
oewn-bichromate__1.27.00..,bichromate,n,a salt of the hypothetical dichromic acid,chemical,chemical,gloss: chemical substance/element cue
oewn-cytophotometry__1.04.00..,cytophotometry,n,the study of chemical compounds inside a cell by means of a cytophotometer,chemical,chemical,gloss: chemical substance/element cue
oewn-paraffin__1.27.00..,paraffin,n,from crude petroleum; used for candles and for preservative or waterproof coatings,chemical,chemical,gloss: chemical substance/element cue
oewn-calcium__1.27.00..,calcium,n,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,chemical,chemical,gloss: chemical substance/element cue
oewn-malic_acid__1.27.01..,malic acid,n,"an organic compound with the formula HO2CCH2CHOHCO2H; it is a dicarboxylic acid that is made by all living organisms, contributes to the pleasantly sour taste of fruits, and is used as a food additive.",chemical,chemical,gloss: chemical substance/element cue
oewn-mucopolysaccharide__1.27.00..,mucopolysaccharide,n,complex polysaccharides containing an amino group; occur chiefly as components of connective tissue,chemical,chemical,gloss: chemical substance/element cue
oewn-hydrogen_bond__1.19.00..,hydrogen bond,n,"a chemical bond consisting of a hydrogen atom between two electronegative atoms (e.g., oxygen or nitrogen) with one side being a covalent bond and the other being an ionic bond",chemical,chemical,gloss: chemical substance/element cue
oewn-hydrogen_carbonate__1.27.00..,hydrogen carbonate,n,a salt of carbonic acid (containing the anion HCO3) in which one hydrogen atom has been replaced; an acid carbonate,chemical,chemical,gloss: chemical substance/element cue
oewn-zinc_sulphate__1.27.00..,zinc sulphate,n,a colorless water-soluble powder; used as a mordant or to preserve wood or for the electrodeposition of zinc,chemical,chemical,gloss: chemical substance/element cue
oewn-coenzyme_a__1.27.00..,coenzyme A,n,a coenzyme present in all living cells; essential to metabolism of carbohydrates and fats and some amino acids,chemical,chemical,gloss: chemical substance/element cue
oewn-transamination__1.22.01..,transamination,n,the process of transposing an amino group within a chemical compound,chemical,chemical,gloss: chemical substance/element cue
oewn-coal_oil__1.27.00..,coal oil,n,a flammable hydrocarbon oil used as fuel in lamps and heaters,chemical,chemical,gloss: chemical substance/element cue
oewn-thorium__1.27.00..,thorium,n,a soft silvery-white tetravalent radioactive metallic element; isotope 232 is used as a power source in nuclear reactors; occurs in thorite and in monazite sands,chemical,chemical,gloss: chemical substance/element cue
oewn-unesco__1.14.00..,UNESCO,n,an agency of the United Nations that promotes education and communication and the arts,lexical-word,chemical,ordinary content word (default)
oewn-ether__1.06.00..,ether,n,a colorless volatile highly flammable liquid formerly used as an inhalation anesthetic,chemical,chemical,gloss: chemical substance/element cue
oewn-copper__1.27.00..,copper,n,a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor,chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_48__1.27.00..,atomic number 48,n,a soft bluish-white ductile malleable toxic bivalent metallic element; occurs in association with zinc ores,chemical,chemical,gloss: chemical substance/element cue
oewn-nonsteroidal__1.27.00..,nonsteroidal,n,an organic compound that does no contain a steroid,chemical,chemical,gloss: chemical substance/element cue
oewn-alloy__1.27.00..,alloy,n,a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten,chemical,chemical,gloss: chemical substance/element cue
oewn-chlorobenzene__1.27.00..,chlorobenzene,n,a colorless volatile flammable liquid with an almond odor that is made from chlorine and benzene; used as a solvent and in the production of phenol and DDT and other organic compounds,chemical,chemical,gloss: chemical substance/element cue
oewn-binary_compound__1.27.00..,binary compound,n,chemical compound composed of only two elements,chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_109__1.27.00..,atomic number 109,n,"a radioactive transuranic element, with atomic number 109",chemical,chemical,gloss: chemical substance/element cue
oewn-mercury_chloride__1.27.00..,mercury chloride,n,a white poisonous soluble crystalline sublimate of mercury; used as a pesticide or antiseptic or wood preservative,chemical,chemical,gloss: chemical substance/element cue
oewn-cyano_radical__1.27.00..,cyano radical,n,the monovalent group -CN in a chemical compound,chemical,chemical,gloss: chemical substance/element cue
oewn-bisulfate__1.27.01..,bisulfate,n,a salt or an ester of sulphuric acid with the chemical formula HSO4-.,chemical,chemical,gloss: chemical substance/element cue
oewn-cultural_revolution__1.11.00..,Cultural Revolution,n,a radical reform in China initiated by Mao Zedong in 1965 and carried out largely by the Red Guard; intended to eliminate counterrevolutionary elements in the government it resulted in purges of the intellectuals and socioeconomic chaos,chemical,chemical,gloss: chemical substance/element cue
oewn-desorption__1.22.00..,desorption,n,changing from an adsorbed state on a surface to a gaseous or liquid state,chemical,chemical,gloss: chemical substance/element cue
oewn-libya__1.15.00..,Libya,n,a military dictatorship in northern Africa on the Mediterranean; consists almost entirely of desert; a major exporter of petroleum,chemical,chemical,gloss: chemical substance/element cue
oewn-distil__2.30.04..,distil,v,undergo condensation; change from a gaseous to a liquid state and fall in drops,chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_77__1.27.00..,atomic number 77,n,a heavy brittle metallic element of the platinum group; used in alloys; occurs in natural alloys with platinum or osmium,chemical,chemical,gloss: chemical substance/element cue
oewn-frederick_sanger__1.18.00..,Frederick Sanger,n,English biochemist who determined the sequence of amino acids in insulin and who invented a technique to determine the genetic sequence of an organism (born in 1918),chemical,chemical,gloss: chemical substance/element cue
oewn-eicosapentaenoic_acid__1.27.00..,eicosapentaenoic acid,n,an omega-3 fatty acid with 20 carbon atoms; found in fish (especially tuna and bluefish),chemical,chemical,gloss: chemical substance/element cue
oewn-protactinium__1.27.00..,protactinium,n,a short-lived radioactive metallic element formed from uranium and disintegrating into actinium and then into lead,chemical,chemical,gloss: chemical substance/element cue
oewn-earth_wax__1.27.00..,earth wax,n,a waxy mineral that is a mixture of hydrocarbons and occurs in association with petroleum; some varieties are used in making ceresin and candles,chemical,chemical,gloss: chemical substance/element cue
oewn-theobid__1.06.00..,Theobid,n,a colorless crystalline alkaloid derived from tea leaves or made synthetically; used in medicine as a bronchial dilator,chemical,chemical,gloss: chemical substance/element cue
oewn-paraffin_series__1.27.00..,paraffin series,n,a series of non-aromatic saturated hydrocarbons with the general formula CnH(2n+2),chemical,chemical,gloss: chemical substance/element cue
oewn-caffeine__1.27.00..,caffeine,n,a bitter alkaloid found in coffee and tea that is responsible for their stimulating effects,chemical,chemical,gloss: chemical substance/element cue
oewn-boletus_luridus__1.20.00..,Boletus luridus,n,a poisonous fungus with a dingy yellow cap and orange red undersurface and a cylindrical reticulate stalk,chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_58__1.27.00..,atomic number 58,n,a ductile grey metallic element of the lanthanide series; used in lighter flints; the most abundant of the rare-earth group,chemical,chemical,gloss: chemical substance/element cue
oewn-petroleum_geologist__1.18.00..,petroleum geologist,n,a specialist in petroleum geology,chemical,chemical,gloss: chemical substance/element cue
oewn-barium_selenite__1.27.01..,barium selenite,n,an inorganic compound with the chemical formula BaSeO3; it is a salt of barium and selenous acid.,chemical,chemical,gloss: chemical substance/element cue
oewn-aminoalkanoic_acid__1.27.00..,aminoalkanoic acid,n,organic compounds containing an amino group and a carboxylic acid group,chemical,chemical,gloss: chemical substance/element cue
oewn-ionic_charge__1.23.00..,ionic charge,n,the charge on an ion is equal to a constant charge e multiplied by an integer from 1 to 15,chemical,chemical,gloss: chemical substance/element cue
oewn-people-ap-s_liberation_army__1.14.00..,People's Liberation Army,n,a radical terrorist group dedicated to the removal of British forces from Northern Ireland and the unification of Ireland,chemical,chemical,gloss: chemical substance/element cue
oewn-alkane__1.27.00..,alkane,n,a series of non-aromatic saturated hydrocarbons with the general formula CnH(2n+2),chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_31__1.27.00..,atomic number 31,n,a rare silvery (usually trivalent) metallic element; brittle at low temperatures but liquid above room temperature; occurs in trace amounts in bauxite and zinc ores,chemical,chemical,gloss: chemical substance/element cue
oewn-hydrogen_iodide__1.27.00..,hydrogen iodide,n,a colorless gas that yields hydroiodic acid in aqueous solution,chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_57__1.27.00..,atomic number 57,n,a white soft metallic element that tarnishes readily; occurs in rare earth minerals and is usually classified as a rare earth,chemical,chemical,gloss: chemical substance/element cue
oewn-berkelium__1.27.00..,berkelium,n,a radioactive transuranic element; discovered by bombarding americium with helium,chemical,chemical,gloss: chemical substance/element cue
oewn-transmutation__1.11.01..,transmutation,n,(physics) the change of one chemical element into another (as by nuclear decay or radioactive bombardment),chemical,chemical,gloss: chemical substance/element cue
oewn-ion-exchange_polymer__1.27.01..,ion-exchange polymer,n,"An ion-exchange resin or ion-exchange polymer is an insoluble matrix (or support structure) normally in the form of small (0.5-1 mm diameter) beads, usually white or yellowish, fabricated from an organic polymer substrate.",chemical,chemical,gloss: chemical substance/element cue
oewn-iodin__1.27.00..,iodin,n,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks),chemical,chemical,gloss: chemical substance/element cue
oewn-hyaluronic_acid__1.27.00..,hyaluronic acid,n,a viscous mucopolysaccharide found in the connective tissue space and the synovial fluid of movable joints and the humors of the eye; a cementing and protective substance,chemical,chemical,gloss: chemical substance/element cue
oewn-rhodium__1.27.00..,rhodium,n,a white hard metallic element that is one of the platinum group and is found in platinum ores; used in alloys with platinum,chemical,chemical,gloss: chemical substance/element cue
oewn-divinyl_ether__1.06.00..,divinyl ether,n,a colorless volatile highly flammable liquid formerly used as an inhalation anesthetic,chemical,chemical,gloss: chemical substance/element cue
oewn-psilotsin__1.27.01..,psilotsin,n,"a substituted tryptamine alkaloid and a serotonergic psychedelic substance, present in most psychedelic mushrooms together with its phosphorylated counterpart psilocybin.",chemical,chemical,gloss: chemical substance/element cue
oewn-hydrogen__1.27.00..,hydrogen,n,a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe,chemical,chemical,gloss: chemical substance/element cue
oewn-thiocyanate__1.27.00..,thiocyanate,n,a salt of thiocyanic acid; formed when alkaline cyanides are fused with sulfur,chemical,chemical,gloss: chemical substance/element cue
oewn-mendeleev-ap-s_law__1.09.00..,Mendeleev's law,n,(chemistry) the principle that chemical properties of the elements are periodic functions of their atomic numbers,chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_mass__1.07.00..,atomic mass,n,(chemistry) the mass of an atom of a chemical element expressed in atomic mass units,chemical,chemical,gloss: chemical substance/element cue
oewn-ampholyte__1.27.01..,ampholyte,n,"A substance that acts as a base or an acid, depending on the pH of the solution into which it is introduced.",chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_93__1.27.00..,atomic number 93,n,a radioactive transuranic metallic element; found in trace amounts in uranium ores; a by-product of the production of plutonium,chemical,chemical,gloss: chemical substance/element cue
oewn-ununbium__1.27.00..,ununbium,n,"a radioactive transuranic element, with atomic number 112",chemical,chemical,gloss: chemical substance/element cue
oewn-petrolatum__1.27.00..,petrolatum,n,a semisolid mixture of hydrocarbons obtained from petroleum; used in medicinal ointments and for lubrication,chemical,chemical,gloss: chemical substance/element cue
oewn-isotope__1.27.00..,isotope,n,one of two or more atoms with the same atomic number but with different numbers of neutrons,chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_19__1.27.00..,atomic number 19,n,a light soft silver-white metallic element of the alkali metal group; oxidizes rapidly in air and reacts violently with water; is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite,chemical,chemical,gloss: chemical substance/element cue
oewn-calcium_bicarbonate__1.27.00..,calcium bicarbonate,n,"a bicarbonate that is a major cause of hard water, with chemical formula Ca(HCO3)2",chemical,chemical,gloss: chemical substance/element cue
oewn-nickel__1.27.00..,nickel,n,a hard malleable ductile silvery metallic element that is resistant to corrosion; used in alloys; occurs in pentlandite and smaltite and garnierite and millerite,chemical,chemical,gloss: chemical substance/element cue
oewn-aspartic_acid__1.27.00..,aspartic acid,n,a crystalline amino acid found in proteins and occurring naturally in sugar beets and sugar cane,chemical,chemical,gloss: chemical substance/element cue
oewn-aliphatic_compound__1.27.00..,aliphatic compound,n,organic compound that is an alkane or alkene or alkyne or their derivative,chemical,chemical,gloss: chemical substance/element cue
oewn-restriction_nuclease__1.27.00..,[redacted-offensive-lexicon],n,[gloss elided],chemical,chemical,gloss: chemical substance/element cue | OFFENSIVE-REDACTED
oewn-oil_geologist__1.18.00..,oil geologist,n,a specialist in petroleum geology,chemical,chemical,gloss: chemical substance/element cue
oewn-tetrabasic_acid__1.27.00..,tetrabasic acid,n,an acid containing four replaceable hydrogen atoms per molecule,chemical,chemical,gloss: chemical substance/element cue
oewn-alkane_series__1.27.00..,alkane series,n,a series of non-aromatic saturated hydrocarbons with the general formula CnH(2n+2),chemical,chemical,gloss: chemical substance/element cue
oewn-crystallogen__1.27.01..,crystallogen,n,any chemical element that belongs to the carbon group.,chemical,chemical,gloss: chemical substance/element cue
oewn-trans_fatty_acid__1.27.00..,trans fatty acid,n,a fatty acid that has been produced by hydrogenating an unsaturated fatty acid (and so changing its shape); found in processed foods such as margarine and fried foods and puddings and commercially baked goods and partially hydrogenated vegetable oils,chemical,chemical,gloss: chemical substance/element cue
oewn-magnetite__1.27.00..,magnetite,n,an oxide of iron that is strongly attracted by magnets,chemical,chemical,gloss: chemical substance/element cue
oewn-dmitri_mendeleyev__1.18.00..,Dmitri Mendeleyev,n,Russian chemist who developed a periodic table of the chemical elements and predicted the discovery of several new elements (1834-1907),chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_105__1.27.00..,atomic number 105,n,a transuranic element with atomic number 105,chemical,chemical,gloss: chemical substance/element cue
oewn-actinide__1.27.00..,actinide,n,any of a series of radioactive elements with atomic numbers 89 through 103,chemical,chemical,gloss: chemical substance/element cue
oewn-zinc_selenite__1.27.01..,zinc selenite,n,"a toxic salt of selenous acid and zinc, with the chemical formula ZnSeO3 …",chemical,chemical,gloss: chemical substance/element cue
oewn-monosaccharide__1.27.00..,monosaccharide,n,a sugar (like sucrose or fructose) that does not hydrolyse to give other sugars; the simplest group of carbohydrates,chemical,chemical,gloss: chemical substance/element cue
oewn-radiothorium__1.27.00..,radiothorium,n,radioactive isotope of thorium with mass number 228,chemical,chemical,gloss: chemical substance/element cue
oewn-american_hellebore__1.20.00..,American hellebore,n,North American plant having large leaves and yellowish green flowers growing in racemes; yields a toxic alkaloid used medicinally,chemical,chemical,gloss: chemical substance/element cue
oewn-nobelium__1.27.00..,nobelium,n,a radioactive transuranic element synthesized by bombarding curium with carbon ions; 7 isotopes are known,chemical,chemical,gloss: chemical substance/element cue
oewn-acyl_anhydrides__1.27.00..,acyl anhydrides,n,organic compounds that react with water to form an acid,chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_61__1.27.00..,atomic number 61,n,a soft silvery metallic element of the rare earth group having no stable isotope; was discovered in radioactive form as a fission product of uranium,chemical,chemical,gloss: chemical substance/element cue
oewn-butadiene__1.27.00..,butadiene,n,a gaseous hydrocarbon C4H6; used in making synthetic rubbers,chemical,chemical,gloss: chemical substance/element cue
oewn-raudixin__1.06.00..,Raudixin,n,antihypertensive consisting of an alkaloid extracted from the plant Rauwolfia serpentina (trade names Raudixin or Rau-Sed or Sandril or Serpasil),chemical,chemical,gloss: chemical substance/element cue
oewn-tricholoma_venenata__1.20.00..,Tricholoma venenata,n,a poisonous white agaric,chemical,chemical,gloss: chemical substance/element cue
oewn-gelatin__1.27.00..,gelatin,n,a colorless water-soluble glutinous protein obtained from animal tissues such as bone and skin,chemical,chemical,gloss: chemical substance/element cue
oewn-atomic_number_9__1.27.00..,atomic number 9,n,a nonmetallic univalent element belonging to the halogens; usually a yellow irritating toxic flammable gas; a powerful oxidizing agent; recovered from fluorite or cryolite or fluorapatite,chemical,chemical,gloss: chemical substance/element cue
oewn-saccharify__2.30.00..,saccharify,v,convert into a simple soluble fermentable sugar by hydrolyzing a sugar derivative or complex carbohydrate,chemical,chemical,gloss: chemical substance/element cue
oewn-lipo-hepin__1.06.00..,Lipo-Hepin,n,a polysaccharide produced in basophils (especially in the lung and liver) and that inhibits the activity of thrombin in coagulation of the blood; it (trade names Lipo-Hepin and Liquaemin) is used as an anticoagulant in the treatment of thrombosis and in heart surgery,chemical,chemical,gloss: chemical substance/element cue
oewn-pyrimidine__1.27.00..,pyrimidine,n,a heterocyclic organic compound with a penetrating odor,chemical,chemical,gloss: chemical substance/element cue
oewn-alkali__1.27.00..,alkali,n,any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water,chemical,chemical,gloss: chemical substance/element cue
oewn-strontium__1.27.00..,strontium,n,a soft silver-white or yellowish metallic element of the alkali metal group; turns yellow in air; occurs in celestite and strontianite,chemical,chemical,gloss: chemical substance/element cue
oewn-histone__1.27.00..,histone,n,a simple protein containing mainly basic amino acids; present in cell nuclei in association with nucleic acids,chemical,chemical,gloss: chemical substance/element cue
oewn-aminoaciduria__1.26.00..,aminoaciduria,n,abnormal presence of amino acids in the urine; usually a symptom of metabolic defects,chemical,chemical,gloss: chemical substance/element cue
oewn-sulfur_hexafluoride__1.27.00..,sulfur hexafluoride,n,a colorless gas that is soluble in alcohol and ether; a powerful greenhouse gas widely used in the electrical utility industry,chemical,chemical,gloss: chemical substance/element cue
oewn-state_of_kuwait__1.15.00..,State of Kuwait,n,an Arab kingdom in Asia on the northwestern coast of the Persian Gulf; a major source of petroleum,chemical,chemical,gloss: chemical substance/element cue
oewn-medline__1.06.00..,MEDLINE,n,the computer-based telephone system of the United States National Library of Medicine that provides rapid linkage to MEDLARS,technical-term,chemical,gloss: technical-domain cue
oewn-atomic_number_51__1.27.00..,atomic number 51,n,a metallic element having four allotropic forms; used in a wide variety of alloys; found in stibnite,chemical,chemical,gloss: chemical substance/element cue
oewn-creatine_phosphoric_acid__1.27.00..,creatine phosphoric acid,n,an organic compound of creatine and phosphoric acid; found in the muscles of vertebrates where its hydrolysis releases energy for muscular contraction,chemical,chemical,gloss: chemical substance/element cue
oewn-myotis_velifer__1.05.00..,Myotis velifer,n,small bat of southwest United States that lives in caves etc.,phrase,taxon,compositional multiword lemma
oewn-acer_japonicum__1.20.00..,Acer japonicum,n,leaves deeply incised and bright red in autumn; Japan,phrase,taxon,compositional multiword lemma
oewn-felis_pardalis__1.05.00..,Felis pardalis,n,nocturnal wildcat of Central America and South America having a dark-spotted buff-brown coat,phrase,taxon,compositional multiword lemma
oewn-monardella_lanceolata__1.20.00..,Monardella lanceolata,n,fragrant California annual herb having lanceolate leaves and clusters of rose-purple flowers,taxon,taxon,Linnaean binomial lemma
oewn-hungarian_pointer__1.05.00..,Hungarian pointer,n,Hungarian hunting dog resembling the Weimaraner but having a rich deep red coat,phrase,taxon,compositional multiword lemma
oewn-trichosurus__1.05.00..,Trichosurus,n,a genus of Phalangeridae containing the brushtail possums (Trichosurus),taxon,taxon,gloss: taxonomic rank cue
oewn-genus_thamnophilus__1.05.00..,genus Thamnophilus,n,"a genus of Formicariidae, containing the antshrikes (Thamnophilus)",taxon,taxon,gloss: taxonomic rank cue
oewn-piltdown_man__1.18.00..,Piltdown man,n,a supposedly primitive man later proven to be a hoax,phrase,taxon,compositional multiword lemma
oewn-uta_stansburiana__1.05.00..,Uta stansburiana,n,one of the most abundant lizards in the arid western United States,phrase,taxon,compositional multiword lemma
oewn-momordica_balsamina__1.20.00..,[redacted-offensive-lexicon],n,[gloss elided],phrase,taxon,compositional multiword lemma | OFFENSIVE-REDACTED
oewn-takelma_language__1.10.01..,Takelma language,n,a Penutian language spoken by the Takelma,phrase,taxon,compositional multiword lemma
oewn-european_box__1.20.00..,European box,n,large slow-growing evergreen shrub or small tree with multiple stems; extensively used for hedges or borders and topiary figures,taxon,taxon,Linnaean binomial lemma
oewn-family_welwitschiaceae__1.20.00..,family Welwitschiaceae,n,in some classifications included in the Gnetaceae,taxon,taxon,gloss: taxonomic rank cue
oewn-yellow_race__1.18.00..,Yellow race,n,an Asian race,phrase,taxon,compositional multiword lemma
oewn-british_spelling__1.10.01..,British spelling,n,"English orthography used in the UK, Ireland and most of the Commonwealth (characterized by ‘analyse’, ‘centre’ and ‘useable’)",phrase,taxon,compositional multiword lemma
oewn-ajaia__1.05.00..,Ajaia,n,a genus of Platalea,taxon,taxon,gloss: taxonomic rank cue
oewn-solanum_elaeagnifolium__1.20.00..,Solanum elaeagnifolium,n,weedy nightshade with silvery foliage and violet or blue or white flowers; roundish berry widely used to curdle milk; central United States to South America,phrase,taxon,compositional multiword lemma
oewn-macrotis__1.05.00..,Macrotis,n,a genus of Peramelidae,taxon,taxon,gloss: taxonomic rank cue
oewn-atlantic_sailfish__1.05.00..,Atlantic sailfish,n,a kind of sailfish,taxon,taxon,Linnaean binomial lemma
oewn-muhlenbergia__1.20.00..,Muhlenbergia,n,a genus of grasses of the family Gramineae grown in America and Asia,taxon,taxon,gloss: taxonomic rank cue
oewn-family_lauraceae__1.20.00..,family Lauraceae,n,a family of Lauraceae,taxon,taxon,gloss: taxonomic rank cue
oewn-monotropa_hypopithys__1.20.00..,Monotropa hypopithys,n,fleshy tawny or reddish saprophytic herb resembling the Indian pipe and growing in woodland humus of eastern North America; in some classifications placed in a separate genus Hypopitys,taxon,taxon,gloss: taxonomic rank cue
oewn-amaryllidaceae__1.20.00..,Amaryllidaceae,n,"snowdrop, narcissus, daffodil; in some classification systems considered a subfamily of the Liliaceae",taxon,taxon,gloss: taxonomic rank cue
oewn-bermuda_rig__1.06.00..,Bermuda rig,n,a rig of triangular sails for a yacht,phrase,taxon,compositional multiword lemma
oewn-carpenteria_californica__1.20.00..,Carpenteria californica,n,California evergreen shrub having glossy opposite leaves and terminal clusters of a few fragrant white flowers,taxon,taxon,Linnaean binomial lemma
oewn-canadian_fleabane__1.20.00..,Canadian fleabane,n,common North American weed with linear leaves and small discoid heads of yellowish flowers; widely naturalized throughout temperate regions; sometimes placed in genus Erigeron,taxon,taxon,Linnaean binomial lemma
oewn-australian_crawl__1.04.00..,Australian crawl,n,a swimming stroke; arms are moved alternately overhead accompanied by a flutter kick,phrase,taxon,compositional multiword lemma
oewn-genus_monotropa__1.20.00..,genus Monotropa,n,leafless fleshy saprophytic plants; in some classifications placed in the family Pyrolaceae,taxon,taxon,gloss: taxonomic rank cue
oewn-helvellaceae__1.20.00..,Helvellaceae,n,family of false morels or lorchels; some are edible and some are poisonous,taxon,taxon,gloss: taxonomic rank cue
oewn-genus_philaenus__1.05.00..,genus Philaenus,n,a genus of Cercopidae,taxon,taxon,gloss: taxonomic rank cue
oewn-genus_nymphaea__1.20.00..,genus Nymphaea,n,the type genus of the family Nymphaeaceae; any of a variety of water lilies,taxon,taxon,gloss: taxonomic rank cue
oewn-neomys_anomalus__1.05.00..,Neomys anomalus,n,a type of water shrew,phrase,taxon,compositional multiword lemma
oewn-hesperis_matronalis__1.20.00..,Hesperis matronalis,n,long cultivated herb having flowers whose scent is more pronounced in the evening; naturalized throughout Europe to Siberia and into North America,taxon,taxon,Linnaean binomial lemma
oewn-jerusalem_artichoke__1.13.00..,Jerusalem artichoke,n,sunflower tuber eaten raw or boiled or sliced thin and fried as Saratoga chips,phrase,taxon,compositional multiword lemma
oewn-genus_suillus__1.20.00..,genus Suillus,n,"a genus of fungi belonging to the family Boletaceae with species in the genus being associated with trees in the pine family, and being mostly distributed in temperate locations in the Northern Hemisphere (Suillus)",taxon,taxon,gloss: taxonomic rank cue
oewn-plantago_lanceolata__1.20.00..,Plantago lanceolata,n,an Old World plantain with long narrow ribbed leaves widely established in temperate regions,taxon,taxon,Linnaean binomial lemma
oewn-polish_notation__1.10.00..,Polish notation,n,a parenthesis-free notation for forming mathematical expressions in which each operator precedes its operands,phrase,taxon,compositional multiword lemma
oewn-castanopsis_chrysophylla__1.20.00..,Castanopsis chrysophylla,n,small ornamental evergreen tree of Pacific Coast whose glossy yellow-green leaves are yellow beneath; bears edible nuts,taxon,taxon,Linnaean binomial lemma
oewn-cornish_pasty__1.13.00..,Cornish pasty,n,meat pie with filling of meat and vegetables,phrase,taxon,compositional multiword lemma
oewn-adonic_line__1.10.00..,Adonic line,n,a verse line with a dactyl followed by a spondee or trochee; supposedly used in laments by Adonis,phrase,taxon,compositional multiword lemma
oewn-jamaica_rum__1.13.00..,Jamaica rum,n,heavy pungent rum from Jamaica,phrase,taxon,compositional multiword lemma
oewn-caprimulgus_vociferus__1.05.00..,Caprimulgus vociferus,n,American nocturnal goatsucker with grey-and-white plumage,phrase,taxon,compositional multiword lemma
oewn-psychotria_capensis__1.20.00..,Psychotria capensis,n,South African evergreen having hard tough wood,phrase,taxon,compositional multiword lemma
oewn-chrysosplenium_americanum__1.20.00..,Chrysosplenium americanum,n,aquatic herb with yellowish flowers; central and western United States,taxon,taxon,Linnaean binomial lemma
oewn-dracunculus__1.05.00..,Dracunculus,n,type genus of the family Dracunculidae,taxon,taxon,gloss: taxonomic rank cue
oewn-jersey_fern__1.20.00..,Jersey fern,n,small short-lived fern of Central and South America,phrase,taxon,compositional multiword lemma
oewn-nageia_nagi__1.20.00..,Nageia nagi,n,medium-sized tree having glossy lanceolate leaves; southern China to Taiwan and southern Japan,taxon,taxon,Linnaean binomial lemma
oewn-cnidoscolus_urens__1.20.00..,Cnidoscolus urens,n,a stinging herb of tropical America,taxon,taxon,Linnaean binomial lemma
oewn-scutigera_coleoptrata__1.05.00..,Scutigera coleoptrata,n,long-legged centipede common in damp places as e.g. cellars,phrase,taxon,compositional multiword lemma
oewn-matricaria_inodorum__1.20.00..,Matricaria inodorum,n,ubiquitous European annual weed with white flowers and finely divided leaves naturalized and sometimes cultivated in eastern North America; sometimes included in genus Matricaria,taxon,taxon,Linnaean binomial lemma
oewn-family_chlorophthalmidae__1.05.00..,family Chlorophthalmidae,n,small family of soft-finned bottom-dwellers with large eyes; relatives of lizardfishes,taxon,taxon,gloss: taxonomic rank cue
oewn-family_polygonaceae__1.20.00..,family Polygonaceae,n,a family of plants of order Polygonales chiefly of the north temperate zone; includes the buckwheats,taxon,taxon,gloss: taxonomic rank cue
oewn-european_pasqueflower__1.20.00..,European pasqueflower,n,European perennial having usually violet or white spring flowers,phrase,taxon,compositional multiword lemma
oewn-schmidt_telescope__1.06.00..,Schmidt telescope,n,reflecting telescope that has plate that corrects for aberration so a wide area of sky can be photographed,phrase,taxon,compositional multiword lemma
oewn-comptonia_peregrina__1.20.00..,Comptonia peregrina,n,deciduous shrub of eastern North America with sweet scented fernlike leaves and tiny white flowers,taxon,taxon,Linnaean binomial lemma
oewn-roof_mushroom__1.20.00..,roof mushroom,n,a large genus of fungi belonging to the family Pluteaceae; the shape of the cap resembles a roof; often abundant early in the summer,taxon,taxon,gloss: taxonomic rank cue
oewn-turnix__1.05.00..,Turnix,n,type genus of the Turnicidae: button quail,taxon,taxon,gloss: taxonomic rank cue
oewn-greek_cross__1.06.00..,Greek cross,n,a cross with each of the four arms the same length,phrase,taxon,compositional multiword lemma
oewn-acanthocereus_tetragonus__1.20.00..,[redacted-offensive-lexicon],n,[gloss elided],phrase,taxon,compositional multiword lemma | OFFENSIVE-REDACTED
oewn-oniscus__1.05.00..,Oniscus,n,type genus of the Oniscidae; woodlice that cannot roll into a ball,taxon,taxon,gloss: taxonomic rank cue
oewn-raja_erinacea__1.05.00..,Raja erinacea,n,most plentiful skate in North American inshore waters in summer; to 21 inches,phrase,taxon,compositional multiword lemma
