node_id,lemma,pos,surface_word,gloss,component,is_seed,seed_method,candidate_seed_id,layer,degree_score,outdegree,indegree,frequency,age_of_acquisition,concreteness,source_label
instead::r,instead,r,instead,"in place of, or as an alternative to",core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,118,118,0,4.898645289063423,6.6799680000000015,1.48,"instead [r] :: in place of, or as an alternative to"
age::n,age,n,age,how long something has existed,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,151,151,0,4.898215507255065,4.38,2.86,age [n] :: how long something has existed
hundred::n,hundred,n,hundred,ten 10s,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,27,26,1,4.895627846281423,5.47,3.2,hundred [n] :: ten 10s
chief::n,chief,n,chief,a person who is in charge,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,219,218,1,4.891062004918256,7.53,4.26,chief [n] :: a person who is in charge
scene::n,scene,n,scene,the place where some action occurs,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,48,47,1,4.872531081856897,8.17,3.93,scene [n] :: the place where some action occurs
fell::n,fell,n,fell,the dressed skin of an animal (especially a large animal),satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,25,21,4,4.862843814453765,3.280385,3.55,fell [n] :: the dressed skin of an animal (especially a large animal)
push::n,push,n,push,the act of applying force in order to move something away,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,26,23,3,4.848015988797371,4.26,4.21,push [n] :: the act of applying force in order to move something away
push::v,push,v,push,move with force,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,24,22,2,4.848015988797371,4.26,4.21,push [v] :: move with force
prove::v,prove,v,prove,be shown or be found to be,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,15,14,1,4.847049547270533,7.84,1.83,prove [v] :: be shown or be found to be
hide::n,hide,n,hide,the dressed skin of an animal (especially a large animal),satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,25,21,4,4.842673747210245,4.47,3.21,hide [n] :: the dressed skin of an animal (especially a large animal)
share::v,share,v,share,have in common,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,26,26,0,4.841572873409358,4.84,2.96,share [v] :: have in common
french::a,french,a,french,of or pertaining to France or the people of France,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,3,3,0,4.841082698998516,,,french [a] :: of or pertaining to France or the people of France
holding::n,holding,n,holding,the act of retaining something,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,258,257,1,4.839731859707557,,3.72,holding [n] :: the act of retaining something
dying::n,dying,n,dying,the time when something ends,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,13,12,1,4.825479120943223,,3.16,dying [n] :: the time when something ends
space::v,space,v,space,place at intervals,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,19,18,1,4.819464043015799,5.67,3.54,space [v] :: place at intervals
carry::n,carry,n,carry,the act of carrying something,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,111,110,1,4.818431851247912,5.16,4.04,carry [n] :: the act of carrying something
smoke::n,smoke,n,smoke,a cloud of fine particles suspended in a gas,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,58,54,4,4.815320474487688,4.0,4.96,smoke [n] :: a cloud of fine particles suspended in a gas
gift::v,gift,v,gift,give qualities or abilities to,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,4,3,1,4.809162024438834,5.05,4.56,gift [v] :: give qualities or abilities to
sake::n,sake,n,sake,a reason for wanting something done,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,11,8,3,4.806780147452464,8.74,2.74,sake [n] :: a reason for wanting something done
beginning::a,beginning,a,beginning,serving to begin,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,20,19,1,4.799690013840291,5.4,2.5,beginning [a] :: serving to begin
killer::n,killer,n,killer,someone who causes the death of a person or animal,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,24,22,2,4.7979331020729,6.48,3.31,killer [n] :: someone who causes the death of a person or animal
twice::r,twice,r,twice,two times,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,43,42,1,4.795897024823152,5.891350000000001,2.93,twice [r] :: two times
race::n,race,n,race,any competition,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,111,110,1,4.791246267816735,6.0,3.59,race [n] :: any competition
brown::a,brown,a,brown,of a color similar to that of wood or earth,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,43,41,2,4.778547918126946,4.196887000000001,4.48,brown [a] :: of a color similar to that of wood or earth
sleeping::n,sleeping,n,sleeping,the state of being asleep,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,28,28,0,4.772990012972495,,4.23,sleeping [n] :: the state of being asleep
low::a,low,a,low,less than normal in degree or intensity or amount,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,37,33,4,4.771409452319448,4.7,3.34,low [a] :: less than normal in degree or intensity or amount
impossible::a,impossible,a,impossible,not capable of occurring or being accomplished or dealt with,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,65,63,2,4.771265479342197,7.32,1.66,impossible [a] :: not capable of occurring or being accomplished or dealt with
impossible::n,impossible,n,impossible,something that cannot be done,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,36,35,1,4.771265479342197,7.32,1.66,impossible [n] :: something that cannot be done
angry::a,angry,a,angry,feeling or showing anger,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,44,42,2,4.770256329884541,4.45,2.53,angry [a] :: feeling or showing anger
bunch::n,bunch,n,bunch,a grouping of a number of similar things,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,10,8,2,4.769534070476591,4.89,3.5,bunch [n] :: a grouping of a number of similar things
blame::a,blame,a,blame,expletives used informally as intensifiers,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,19,18,1,4.768810607903987,6.48,2.06,blame [a] :: expletives used informally as intensifiers
lay::v,lay,v,lay,put into a certain place or abstract location,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,12,7,5,4.764736793948124,5.838065000000001,3.86,lay [v] :: put into a certain place or abstract location
bear::v,bear,v,bear,have,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,8,8,0,4.758553513826058,3.58,4.88,bear [v] :: have
reach::n,reach,n,reach,the limits within which something can be effective,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,53,50,3,4.7548307541725165,4.89,3.7,reach [n] :: the limits within which something can be effective
quickly::r,quickly,r,quickly,with speed,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,102,102,0,4.7515281186224305,6.317630000000001,2.36,quickly [r] :: with speed
played::a,played,a,played,(of games) engaged in,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,275,274,1,4.749867334640966,,,played [a] :: (of games) engaged in
decision::n,decision,n,decision,the act of making up your mind about something,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,48,45,3,4.740385881346038,7.57,2.19,decision [n] :: the act of making up your mind about something
excellent::a,excellent,a,excellent,very good; of the highest quality,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,42,39,3,4.721424944367762,7.37,2.11,excellent [a] :: very good; of the highest quality
magic::n,magic,n,magic,any art that invokes supernatural powers,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,22,20,2,4.721263406526248,5.52,2.9,magic [n] :: any art that invokes supernatural powers
acting::n,acting,n,acting,the performance of a part or role in a drama,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,84,80,4,4.719320251240245,,2.54,acting [n] :: the performance of a part or role in a drama
papers::n,papers,n,papers,writing that provides information (especially information of an offic...,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,33,29,4,4.71327353236451,,,papers [n] :: writing that provides information (especially information of an offic...
keeping::n,keeping,n,keeping,conformity or harmony,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,71,69,2,4.708308221244681,,2.19,keeping [n] :: conformity or harmony
duty::n,duty,n,duty,the social force that binds you to the courses of action demanded by...,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,83,81,2,4.706807490115278,7.15,2.19,duty [n] :: the social force that binds you to the courses of action demanded by...
tight::r,tight,r,tight,firmly or closely,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,3,1,2,4.706473288881469,5.251930000000001,3.87,tight [r] :: firmly or closely
support::n,support,n,support,the activity of providing for or maintaining by supplying with money...,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,253,250,3,4.7047984141411225,8.53,2.83,support [n] :: the activity of providing for or maintaining by supplying with money...
f::n,f,n,f,a degree on the Fahrenheit scale of temperature,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,18,15,3,4.70345384810769,,,f [n] :: a degree on the Fahrenheit scale of temperature
bottom::n,bottom,n,bottom,the lower side of anything,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,78,76,2,4.697863087108075,5.28,4.25,bottom [n] :: the lower side of anything
final::a,final,a,final,occurring at or forming an end or termination,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,16,15,1,4.695640752691882,6.58,2.67,final [a] :: occurring at or forming an end or termination
east::n,east,n,east,the countries of Asia,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,242,241,1,4.694611211754808,6.94,3.04,east [n] :: the countries of Asia
risk::v,risk,v,risk,expose to a chance of loss or damage,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,17,13,4,4.690121447501861,7.58,1.63,risk [v] :: expose to a chance of loss or damage
possibly::r,possibly,r,possibly,by chance,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,59,59,0,4.688904692103868,,1.74,possibly [r] :: by chance
above::r,above,r,above,(in writing) at an earlier place,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,13,11,2,4.688730591286983,4.548568000000001,3.33,above [r] :: (in writing) at an earlier place
memory::n,memory,n,memory,something that is remembered,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,123,123,0,4.685935444184505,6.4,2.38,memory [n] :: something that is remembered
greatest::a,greatest,a,greatest,highest in quality,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,75,74,1,4.683651065757709,,,greatest [a] :: highest in quality
beauty::n,beauty,n,beauty,the qualities that give pleasure to the senses,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,68,66,2,4.682945755847262,5.05,2.93,beauty [n] :: the qualities that give pleasure to the senses
advice::n,advice,n,advice,a proposal for an appropriate course of action,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,66,64,2,4.680645555617984,8.61,2.73,advice [n] :: a proposal for an appropriate course of action
empty::n,empty,n,empty,a container that has been emptied,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,78,76,2,4.673851184719329,4.79,3.43,empty [n] :: a container that has been emptied
apart::r,apart,r,apart,separated or at a distance in place or position or time,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,5,4,1,4.67186439011229,6.637340000000001,3.15,apart [r] :: separated or at a distance in place or position or time
size::n,size,n,size,the physical magnitude of something (how big it is),satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,232,230,2,4.663640600651876,4.84,3.13,size [n] :: the physical magnitude of something (how big it is)
closer::n,closer,n,closer,a person who closes something,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,9,9,0,4.659190063170479,,3.0,closer [n] :: a person who closes something
animal::a,animal,a,animal,marked by the appetites and passions of the body,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,35,34,1,4.657509282600378,2.89,4.61,animal [a] :: marked by the appetites and passions of the body
sight::v,sight,v,sight,catch sight of; to perceive with the eyes,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,9,6,3,4.655821971892951,5.44,3.21,sight [v] :: catch sight of; to perceive with the eyes
following::n,following,n,following,a group of followers or enthusiasts,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,168,166,2,4.655634087623569,6.211060000000001,2.83,following [n] :: a group of followers or enthusiasts
career::n,career,n,career,the particular occupation for which you are trained,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,25,23,2,4.65469344510314,9.95,2.54,career [n] :: the particular occupation for which you are trained
correct::a,correct,a,correct,free from error; especially conforming to fact or truth,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,26,21,5,4.652238196874399,5.37,2.59,correct [a] :: free from error; especially conforming to fact or truth
bright::a,bright,a,bright,emitting or reflecting light readily or in large amounts,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,31,27,4,4.647094047671838,6.58,3.92,bright [a] :: emitting or reflecting light readily or in large amounts
suspect::a,suspect,a,suspect,not as expected,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,2,1,1,4.644980688358439,8.58,2.59,suspect [a] :: not as expected
file::n,file,n,file,a set of related records (either written or electronic) kept together,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,34,29,5,4.643437214563589,8.21,4.41,file [n] :: a set of related records (either written or electronic) kept together
main::n,main,n,main,any very large body of (salt) water,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,210,206,4,4.6302906357490645,6.55,2.41,main [n] :: any very large body of (salt) water
main::a,main,a,main,most important element,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,10,7,3,4.6302906357490645,6.55,2.41,main [a] :: most important element
natural::a,natural,a,natural,in accordance with nature; relating to or concerning nature,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,41,39,2,4.626488909027701,8.5,1.85,natural [a] :: in accordance with nature; relating to or concerning nature
military::a,military,a,military,of or relating to the study of the principles of warfare,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,22,21,1,4.614879877626161,8.2,4.0,military [a] :: of or relating to the study of the principles of warfare
opportunity::n,opportunity,n,opportunity,a possibility due to a favorable combination of circumstances,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,26,21,5,4.612395822339696,9.72,1.88,opportunity [n] :: a possibility due to a favorable combination of circumstances
draw::v,draw,v,draw,cause to move by pulling,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,41,38,3,4.606122803091957,4.11,3.97,draw [v] :: cause to move by pulling
pretend::v,pretend,v,pretend,make believe with the intent to deceive,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,9,7,2,4.605068433839184,4.56,2.11,pretend [v] :: make believe with the intent to deceive
view::n,view,n,view,a way of regarding situations or topics etc.,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,78,78,0,4.585417655640577,5.63,3.21,view [n] :: a way of regarding situations or topics etc.
view::v,view,v,view,deem to be,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,17,16,1,4.585417655640577,5.63,3.21,view [v] :: deem to be
condition::n,condition,n,condition,a state at a particular time,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,340,339,1,4.57896376286357,8.42,2.15,condition [n] :: a state at a particular time
serve::n,serve,n,serve,(sports) a stroke that puts the ball in play,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,88,85,3,4.578739495116835,7.17,3.78,serve [n] :: (sports) a stroke that puts the ball in play
total::a,total,a,total,constituting the full quantity or extent; complete,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,13,9,4,4.5753615070061535,6.83,2.8,total [a] :: constituting the full quantity or extent; complete
screw::n,screw,n,screw,someone who guards prisoners,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,21,21,0,4.573549112171756,6.65,4.81,screw [n] :: someone who guards prisoners
screw::v,screw,v,screw,have sexual intercourse with,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,2,1,1,4.573549112171756,6.65,4.81,screw [v] :: have sexual intercourse with
personally::r,personally,r,personally,as yourself,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,6,6,0,4.56390792964447,8.404551,2.07,personally [r] :: as yourself
weight::v,weight,v,weight,weight down with a load,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,17,15,2,4.559240560897364,6.53,3.94,weight [v] :: weight down with a load
director::n,director,n,director,someone who controls resources and expenditures,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,32,32,0,4.555470210732568,8.5,4.04,director [n] :: someone who controls resources and expenditures
brilliant::a,brilliant,a,brilliant,of surpassing excellence,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,98,96,2,4.553572689496997,7.95,2.07,brilliant [a] :: of surpassing excellence
legal::a,legal,a,legal,established by or founded upon law or official or accepted rules,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,173,169,4,4.552382514781439,9.17,1.79,legal [a] :: established by or founded upon law or official or accepted rules
responsibility::n,responsibility,n,responsibility,the social force that binds you to the courses of action demanded by...,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,64,62,2,4.548792294705391,6.89,1.4,responsibility [n] :: the social force that binds you to the courses of action demanded by...
suck::n,suck,n,suck,the act of sucking,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,10,8,2,4.542254144453354,5.58,3.46,suck [n] :: the act of sucking
exciting::a,exciting,a,exciting,creating or arousing excitement,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,27,26,1,4.5415215699497615,6.26,1.96,exciting [a] :: creating or arousing excitement
lift::v,lift,v,lift,raise from a lower to a higher position,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,23,19,4,4.5328822928161046,4.74,3.89,lift [v] :: raise from a lower to a higher position
opened::a,opened,a,opened,used of mouth or eyes,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,72,71,1,4.529126479711919,,,opened [a] :: used of mouth or eyes
hired::a,hired,a,hired,having services engaged for a fee,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,50,48,2,4.518176229308091,,2.59,hired [a] :: having services engaged for a fee
tiny::a,tiny,a,tiny,very small,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,193,191,2,4.507735955348491,5.33,3.11,tiny [a] :: very small
planned::a,planned,a,planned,designed or carried out according to a plan,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,46,43,3,4.502687507459353,,,planned [a] :: designed or carried out according to a plan
swim::n,swim,n,swim,the act of swimming,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,14,12,2,4.502152661970692,4.17,4.43,swim [n] :: the act of swimming
someplace::r,someplace,r,someplace,in or at or to some place,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,1,1,0,4.499199179613532,6.407899,1.97,someplace [r] :: in or at or to some place
weak::a,weak,a,weak,wanting in physical strength,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,101,98,3,4.498120186556893,5.58,2.79,weak [a] :: wanting in physical strength
leader::n,leader,n,leader,a person who rules or guides or inspires others,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,264,264,0,4.493231266464911,6.9,3.89,leader [n] :: a person who rules or guides or inspires others
style::n,style,n,style,how something is done or how it happens,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,188,187,1,4.477942521957665,7.58,2.67,style [n] :: how something is done or how it happens
shopping::n,shopping,n,shopping,searching for or buying goods or services,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,17,14,3,4.476809332842721,4.6977660000000006,3.44,shopping [n] :: searching for or buying goods or services
growing::a,growing,a,growing,relating to or suitable for growth,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,62,60,2,4.475957496384131,,2.89,growing [a] :: relating to or suitable for growth
enter::v,enter,v,enter,to come or go into,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,98,96,2,4.47281972293119,5.67,3.12,enter [v] :: to come or go into
obvious::a,obvious,a,obvious,easily perceived and understood,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,26,23,3,4.470523381920049,9.11,2.07,obvious [a] :: easily perceived and understood
touched::a,touched,a,touched,having come into contact,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,35,35,0,4.469659114009142,,3.11,touched [a] :: having come into contact
grade::n,grade,n,grade,a body of students who are taught together,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,23,22,1,4.46618473962384,5.72,3.0,grade [n] :: a body of students who are taught together
meal::n,meal,n,meal,the food served and eaten at one time,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,94,92,2,4.460036888987091,4.74,4.62,meal [n] :: the food served and eaten at one time
pleased::a,pleased,a,pleased,experiencing or manifesting pleasure,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,4,3,1,4.454995517121478,8.26,2.37,pleased [a] :: experiencing or manifesting pleasure
source::n,source,n,source,"the place where something begins, where it springs into being",satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,577,576,1,4.449593028191323,9.21,2.96,"source [n] :: the place where something begins, where it springs into being"
below::r,below,r,below,in or to a place that is lower,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,348,348,0,4.447473775904236,5.838065000000001,3.45,below [r] :: in or to a place that is lower
lower::a,lower,a,lower,the bottom one of two,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,35,34,1,4.443510372991508,,2.76,lower [a] :: the bottom one of two
birth::n,birth,n,birth,the time when something begins (especially life),satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,118,116,2,4.439819462828265,5.21,4.46,birth [n] :: the time when something begins (especially life)
rise::n,rise,n,rise,a growth in strength or number or importance,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,66,62,4,4.437962177822698,6.72,4.04,rise [n] :: a growth in strength or number or importance
rise::v,rise,v,rise,move upward,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,15,14,1,4.437962177822698,6.72,4.04,rise [v] :: move upward
boring::n,boring,n,boring,the act of drilling,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,32,30,2,4.437651856636288,5.26,2.07,boring [n] :: the act of drilling
v::a,v,a,v,being one more than four,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,2,1,1,4.4364083497540765,,,v [a] :: being one more than four
governor::n,governor,n,governor,the head of a state government,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,25,23,2,4.428554709300867,8.47,4.07,governor [n] :: the head of a state government
awake::v,awake,v,awake,stop sleeping,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,6,5,1,4.426329997979133,4.67,3.32,awake [v] :: stop sleeping
lover::n,lover,n,lover,a person who loves someone or is loved by someone,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,37,36,1,4.425053598876954,9.16,3.68,lover [n] :: a person who loves someone or is loved by someone
wound::a,wound,a,wound,put in a coil,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,2,2,0,4.423452806493586,7.52,4.24,wound [a] :: put in a coil
drag::n,drag,n,drag,the phenomenon of resistance to motion through a fluid,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,11,7,4,4.422167910639466,8.84,4.17,drag [n] :: the phenomenon of resistance to motion through a fluid
forced::a,forced,a,forced,produced by or subjected to forcing,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,70,70,0,4.422167910639466,,2.25,forced [a] :: produced by or subjected to forcing
row::n,row,n,row,an arrangement of objects or people side by side in a line,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,61,58,3,4.4202334108622665,7.0,3.93,row [n] :: an arrangement of objects or people side by side in a line
grave::n,grave,n,grave,death of a person,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,16,15,1,4.419262919996059,7.06,4.56,grave [n] :: death of a person
changing::a,changing,a,changing,marked by continuous change or effective action,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,111,108,3,4.418938940509268,,,changing [a] :: marked by continuous change or effective action
talent::n,talent,n,talent,natural abilities or qualities,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,10,9,1,4.41666429155832,7.0,2.19,talent [n] :: natural abilities or qualities
concern::n,concern,n,concern,something that interests you because it is important or affects you,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,51,50,1,4.41666429155832,7.42,1.7,concern [n] :: something that interests you because it is important or affects you
quarter::n,quarter,n,quarter,one of four equal parts,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,19,17,2,4.415032217176458,5.79,4.43,quarter [n] :: one of four equal parts
pierce::v,pierce,v,pierce,cut or make a way through,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,9,7,2,4.410429507368222,8.076035,3.73,pierce [v] :: cut or make a way through
pierce::n,pierce,n,pierce,14th President of the United States (1804-1869),satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,4,3,1,4.410429507368222,8.076035,3.73,pierce [n] :: 14th President of the United States (1804-1869)
plate::v,plate,v,plate,coat with a layer of metal,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,13,10,3,4.408773788695216,3.84,4.77,plate [v] :: coat with a layer of metal
distance::n,distance,n,distance,the property created by the space between two objects or points,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,176,174,2,4.4081097297250045,6.81,3.17,distance [n] :: the property created by the space between two objects or points
request::n,request,n,request,a formal message requesting something that is submitted to an authority,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,38,35,3,4.40744465381876,8.74,2.59,request [n] :: a formal message requesting something that is submitted to an authority
dawn::n,dawn,n,dawn,the first light of day,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,17,15,2,4.406445126376633,7.0,4.46,dawn [n] :: the first light of day
silence::v,silence,v,silence,cause to be quiet or not talk,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,5,2,3,4.40410391056173,4.6,3.33,silence [v] :: cause to be quiet or not talk
create::v,create,v,create,make or cause to be or to become,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,96,94,2,4.402423852443709,7.1,2.62,create [v] :: make or cause to be or to become
british::n,british,n,british,the people of Great Britain,core,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,563,563,0,4.400399165877294,,,british [n] :: the people of Great Britain
valley::n,valley,n,valley,a long depression in the surface of the land that usually contains a...,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,121,117,4,4.397684816529603,7.94,4.72,valley [n] :: a long depression in the surface of the land that usually contains a...
grown::a,grown,a,grown,(of animals) fully developed,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,640,638,2,4.397684816529603,,3.2,grown [a] :: (of animals) fully developed
celebrate::v,celebrate,v,celebrate,behave as expected during of holidays or rites,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,41,39,2,4.395295764239165,6.21,2.9,celebrate [v] :: behave as expected during of holidays or rites
amount::n,amount,n,amount,a quantity of money,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,376,374,2,4.39323749269979,6.63,2.74,amount [n] :: a quantity of money
poison::n,poison,n,poison,any substance that causes injury or illness or death of a living orga...,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,34,28,6,4.38978521313861,5.58,4.27,poison [n] :: any substance that causes injury or illness or death of a living orga...
path::n,path,n,path,a course of conduct,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,88,86,2,4.38978521313861,6.11,4.41,path [n] :: a course of conduct
secure::a,secure,a,secure,free from fear or doubt; easy in mind,satellite,false,exact-small-greedy,exact-small-greedy:n5044:r0,1,9,7,2,4.385955737985022,8.42,2.69,secure [a] :: free from fear or doubt; easy in mind
